date,tweets
2013-07-15,158
2013-07-16,1140
2013-07-17,1601
2013-07-18,4820
2013-07-19,1077
2013-07-20,284
2013-07-21,1003
2013-07-22,2847
2013-07-23,6146
2013-07-24,5006
2013-07-25,15753
2013-07-26,14682
2013-07-27,25397
2013-07-28,2722
2013-07-29,12229
2013-07-30,72340
2013-07-31,70039
2013-08-01,81738
2013-08-02,39056
2013-08-03,2046
2013-08-04,18980
2013-08-05,66005
2013-08-06,56935
2013-08-07,53541
2013-08-08,75060
2013-08-09,67334
2013-08-10,70395
2013-08-11,36973
2013-08-12,40992
2013-08-13,106363
2013-08-14,56135
2013-08-15,8283
2013-08-16,37051
2013-08-17,11221
2013-08-18,23848
2013-08-19,23647
2013-08-20,38575
2013-08-21,25920
2013-08-22,25780
2013-08-23,28393
2013-08-24,5655
2013-08-25,23895
2013-08-26,4680
2013-08-27,25505
2013-08-28,7916
2013-08-29,8313
2013-08-30,25319
2013-08-31,21310
