date,tweets
2013-07-15,136
2013-07-16,142
2013-07-17,405
2013-07-18,1152
2013-07-19,625
2013-07-20,694
2013-07-21,395
2013-07-22,370
2013-07-23,511
2013-07-24,888
2013-07-25,1121
2013-07-26,1306
2013-07-27,1092
2013-07-28,789
2013-07-29,2422
2013-07-30,5043
2013-07-31,11993
2013-08-01,12358
2013-08-02,7054
2013-08-03,2877
2013-08-04,10581
2013-08-05,13431
2013-08-06,14585
2013-08-07,14010
2013-08-08,15121
2013-08-09,11892
2013-08-10,14062
2013-08-11,14681
2013-08-12,13197
2013-08-13,13515
2013-08-14,18504
2013-08-15,17586
2013-08-16,13931
2013-08-17,9169
2013-08-18,7756
2013-08-19,10378
2013-08-20,6901
2013-08-21,5874
2013-08-22,7629
2013-08-23,4772
2013-08-24,3778
2013-08-25,3153
2013-08-26,3175
2013-08-27,3531
2013-08-28,2722
2013-08-29,2751
2013-08-30,3218
2013-08-31,2839
